Platform,Year,Genre,Publisher,Global_Sales,meta_score,user_review,Global_Sales_mean_genre,Global_Sales_mean_platform,Year_Global_Sales_mean_genre,Year_Global_Sales_mean_platform,Cumulative_Sales_Genre,Cumulative_Sales_Platform
PS3,2009,Misc,Activision,1.1,86.0,5.8,0.4657619321449109,0.7202102102102103,935.715721679126,1446.9023123123125,453.68,606.05
2600,1981,Shooter,Activision,1.1,73.0,7.7,0.7908155487804878,0.7299248120300752,1566.6056021341462,1445.981052631579,742.83,42.11
X360,2007,Shooter,Electronic Arts,1.1,73.0,6.9,0.7908155487804878,0.7692169146436961,1587.1668064024389,1543.818347689898,743.93,649.54
3DS,2015,Action,Nintendo,1.1,73.0,7.4,0.5264508393285372,0.4861689587426326,1060.7984412470025,979.6304518664047,1009.1899999999999,160.43
2600,1982,Platform,Atari,1.1,73.0,7.7,0.9373055242390079,0.7299248120300752,1857.7395490417136,1446.710977443609,636.86,43.21
PS,1997,Sports,Electronic Arts,1.1,80.0,7.3,0.5670881226053639,0.6109197324414716,1132.4749808429117,1220.0067056856187,742.6899999999999,431.87
PS3,2012,Action,Warner Bros. Interactive Entertainment,1.1,82.0,8.3,0.5264508393285372,0.7202102102102103,1059.219088729017,1449.062942942943,1010.29,607.15
DS,2007,Simulation,Ubisoft,1.1,67.0,7.2,0.4519354838709677,0.3801293900184843,907.0345161290322,762.9196857670979,214.0,456.43
PS3,2010,Fighting,THQ,1.1,74.0,8.0,0.529375,0.7202102102102103,1064.04375,1447.6225225225226,251.32,608.25
GB,1999,Strategy,Konami Digital Entertainment,1.1,73.0,7.7,0.2568035190615836,2.6066326530612245,513.3502346041056,5210.658673469387,63.76,237.89000000000001
NES,1984,Puzzle,Hudson Soft,1.1,73.0,7.7,0.4208762886597938,2.561938775510204,835.0185567010309,5082.886530612245,154.09,229.51
GB,1989,Role-Playing,SquareSoft,1.1,73.0,7.7,0.622510067114094,2.6066326530612245,1238.172523489933,5184.592346938775,623.1,238.99
NES,1989,Role-Playing,Namco Bandai Games,1.1,73.0,7.7,0.622510067114094,2.561938775510204,1238.172523489933,5095.696224489796,624.2,230.61
N64,1998,Racing,Nintendo,1.1,85.0,8.7,0.5853944223107569,0.6861442006269592,1169.6180557768923,1370.9161128526646,461.43,138.59
NES,1983,Platform,Nintendo,1.1,73.0,7.7,0.9373055242390079,2.561938775510204,1858.6768545659527,5080.324591836735,637.96,231.71
Wii,2008,Shooter,Electronic Arts,1.1,69.5,7.65,0.7908155487804878,0.6992690278824416,1587.9576219512194,1404.1322079879428,745.03,606.52
PS2,2001,Sports,Electronic Arts,1.1,74.0,8.0,0.5670881226053639,0.58089986155976,1134.743333333333,1162.3806229810798,743.79,748.06
PS2,2006,Misc,Sony Computer Entertainment,1.1,76.0,6.8,0.4657619321449109,0.58089986155976,934.3184358826912,1165.2851222888787,454.78,749.16
PS2,2006,Misc,Sony Computer Entertainment,1.1,69.0,7.1,0.4657619321449109,0.58089986155976,934.3184358826912,1165.2851222888787,455.88,750.26
GC,2003,Role-Playing,Nintendo,1.1,86.0,9.0,0.622510067114094,0.35850987432675047,1246.88766442953,718.0952782764812,625.3,91.66
PSP,2005,Role-Playing,Activision,1.1,68.0,7.7,0.622510067114094,0.24425391591096457,1248.1326845637584,489.72910140148394,626.4,103.31
PS,1998,Role-Playing,Sony Computer Entertainment,1.1,80.0,8.5,0.622510067114094,0.6109197324414716,1243.7751140939597,1220.6176254180602,627.5,432.97
