Year,Publisher,Global_Sales,meta_score,user_review,Global_Sales_mean_genre,Global_Sales_mean_platform,Year_Global_Sales_mean_genre,Year_Global_Sales_mean_platform,Cumulative_Sales_Genre,Cumulative_Sales_Platform
2009,Activision,1.1,86.0,5.8,0.4657619321449109,0.7202102102102103,935.715721679126,1446.9023123123125,453.68,606.05
1981,Activision,1.1,73.0,7.7,0.7908155487804878,0.7299248120300752,1566.6056021341462,1445.981052631579,742.83,42.11
2007,Electronic Arts,1.1,73.0,6.9,0.7908155487804878,0.7692169146436961,1587.1668064024389,1543.818347689898,743.93,649.54
2015,Nintendo,1.1,73.0,7.4,0.5264508393285372,0.4861689587426326,1060.7984412470025,979.6304518664047,1009.1899999999999,160.43
1982,Atari,1.1,73.0,7.7,0.9373055242390079,0.7299248120300752,1857.7395490417136,1446.710977443609,636.86,43.21
1997,Electronic Arts,1.1,80.0,7.3,0.5670881226053639,0.6109197324414716,1132.4749808429117,1220.0067056856187,742.6899999999999,431.87
2012,Warner Bros. Interactive Entertainment,1.1,82.0,8.3,0.5264508393285372,0.7202102102102103,1059.219088729017,1449.062942942943,1010.29,607.15
2007,Ubisoft,1.1,67.0,7.2,0.4519354838709677,0.3801293900184843,907.0345161290322,762.9196857670979,214.0,456.43
2010,THQ,1.1,74.0,8.0,0.529375,0.7202102102102103,1064.04375,1447.6225225225226,251.32,608.25
1999,Konami Digital Entertainment,1.1,73.0,7.7,0.2568035190615836,2.6066326530612245,513.3502346041056,5210.658673469387,63.76,237.89000000000001
1984,Hudson Soft,1.1,73.0,7.7,0.4208762886597938,2.561938775510204,835.0185567010309,5082.886530612245,154.09,229.51
1989,SquareSoft,1.1,73.0,7.7,0.622510067114094,2.6066326530612245,1238.172523489933,5184.592346938775,623.1,238.99
1989,Namco Bandai Games,1.1,73.0,7.7,0.622510067114094,2.561938775510204,1238.172523489933,5095.696224489796,624.2,230.61
1998,Nintendo,1.1,85.0,8.7,0.5853944223107569,0.6861442006269592,1169.6180557768923,1370.9161128526646,461.43,138.59
1983,Nintendo,1.1,73.0,7.7,0.9373055242390079,2.561938775510204,1858.6768545659527,5080.324591836735,637.96,231.71
2008,Electronic Arts,1.1,69.5,7.65,0.7908155487804878,0.6992690278824416,1587.9576219512194,1404.1322079879428,745.03,606.52
2001,Electronic Arts,1.1,74.0,8.0,0.5670881226053639,0.58089986155976,1134.743333333333,1162.3806229810798,743.79,748.06
2006,Sony Computer Entertainment,1.1,76.0,6.8,0.4657619321449109,0.58089986155976,934.3184358826912,1165.2851222888787,454.78,749.16
2006,Sony Computer Entertainment,1.1,69.0,7.1,0.4657619321449109,0.58089986155976,934.3184358826912,1165.2851222888787,455.88,750.26
2003,Nintendo,1.1,86.0,9.0,0.622510067114094,0.35850987432675047,1246.88766442953,718.0952782764812,625.3,91.66
2005,Activision,1.1,68.0,7.7,0.622510067114094,0.24425391591096457,1248.1326845637584,489.72910140148394,626.4,103.31
1998,Sony Computer Entertainment,1.1,80.0,8.5,0.622510067114094,0.6109197324414716,1243.7751140939597,1220.6176254180602,627.5,432.97
2013,Square Enix,1.1,66.0,6.1,0.622510067114094,0.7202102102102103,1253.1127651006711,1449.7831531531533,628.6,609.35
2008,LucasArts,1.09,70.0,7.9,0.5264508393285372,0.24425391591096457,1057.1132853717027,490.46186314921687,1011.38,104.4
2008,Ubisoft,1.09,67.0,7.2,0.4519354838709677,0.3801293900184843,907.4864516129031,763.2998151571164,215.09,457.52
2007,Electronic Arts,1.09,59.0,7.0,0.5264508393285372,0.24425391591096457,1056.5868345323743,490.2176092333059,1012.47,105.49
2006,Sega,1.09,77.0,8.7,0.18574980574980576,0.58089986155976,372.61411033411036,1165.2851222888787,83.97,751.35
2009,Electronic Arts,1.09,84.0,8.1,0.5670881226053639,0.7692169146436961,1139.2800383141762,1545.3567815191855,744.88,650.63
2003,Atari,1.09,75.0,8.5,0.622510067114094,0.3870230862697448,1246.88766442953,775.2072417982988,629.69,152.08
2007,Sega,1.09,85.0,7.3,0.529375,0.7202102102102103,1062.455625,1445.461891891892,252.41,610.44
2000,Sega,1.09,97.0,6.2,0.5670881226053639,0.3071153846153846,1134.1762452107278,614.2307692307693,745.97,8.84
1998,Konami Digital Entertainment,1.09,79.5,8.25,0.4519354838709677,0.6109197324414716,902.9670967741935,1220.6176254180602,216.18,434.06
2005,Sony Computer Entertainment,1.09,73.0,7.7,0.4657619321449109,0.24425391591096457,933.8526739505463,489.72910140148394,456.96999999999997,106.58
2006,LucasArts,1.09,65.0,7.3,0.5264508393285372,0.3801293900184843,1056.0603836930457,762.5395563770795,1013.56,458.61
2003,Electronic Arts,1.09,92.0,7.6,0.5670881226053639,0.31342233009708736,1135.8775095785438,627.784927184466,747.06,87.25
2009,Sega,1.09,90.0,7.0,0.2568035190615836,0.26725025746652936,515.9182697947215,536.9057672502574,64.85,147.99
2006,Electronic Arts,1.09,75.0,8.4,0.5264508393285372,0.58089986155976,1056.0603836930457,1165.2851222888787,1014.65,752.44
2009,Electronic Arts,1.09,88.0,7.7,0.5670881226053639,0.6992690278824416,1139.2800383141762,1404.8314770158252,748.15,607.61
2002,LucasArts,1.09,65.0,8.1,0.7908155487804878,0.58089986155976,1583.2127286585364,1162.9615228426396,746.12,753.53
1997,Taito,1.09,79.5,8.25,0.4519354838709677,0.6109197324414716,902.5151612903226,1220.0067056856187,217.27,435.15
2010,Electronic Arts,1.09,75.0,7.6,0.5264508393285372,0.7202102102102103,1058.1661870503597,1447.6225225225226,1015.74,611.53
